District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
Chitradurga,Cheating,2023,79,29,50,6,58,15,35,44,6
Hubballi,Cheating,2023,109,51,58,20,70,19,47,62,13
Bengaluru Rural,Murder,2023,1,0,1,0,0,1,0,1,0
Chamarajanagar2,Murder,2023,6,2,4,1,3,2,4,2,0
Mandya,Molestation,2023,19,6,13,2,12,5,8,11,2
Chitradurga,Dowry Death,2023,2,1,1,0,1,1,1,1,0
Dharwad,Murder,2023,0,0,0,0,0,0,0,0,0
Vijayapura,Murder,2023,10,5,5,0,6,4,4,6,0
Yadgir,Kidnapping,2023,5,2,3,0,3,2,3,2,1
Raichur,Theft,2023,143,47,96,15,101,27,116,27,44
Mangaluru,Murder,2023,3,2,1,0,2,1,1,2,0
Davangere,Domestic Violence,2023,84,37,47,8,65,11,41,43,9
Bengaluru Rural,Theft,2023,117,59,58,9,88,20,49,68,10
Chitradurga,Cyber Crime,2023,49,29,20,5,30,14,29,20,7
Kodagu,Molestation,2023,32,14,18,2,21,9,24,8,5
Chamarajanagar2,Theft,2023,107,65,42,18,67,22,64,43,20
Bengaluru Rural,Rape,2023,37,11,26,6,28,3,19,18,5
Ramanagara,Domestic Violence,2023,79,42,37,7,61,11,64,15,7
Hubballi,Cyber Crime,2023,49,27,22,8,35,6,15,34,4
Uttara Kannada,Robbery,2023,23,7,16,2,19,2,19,4,8
Hubballi,Theft,2023,137,86,51,7,100,30,95,42,13
Bengaluru Urban,Molestation,2023,18,9,9,1,15,2,13,5,2
Chikkaballapura,Dowry Death,2023,5,2,3,0,3,2,2,3,0
Shivamogga,Murder,2023,7,4,3,0,5,2,1,6,0
Mangaluru,Murder,2023,12,5,7,2,9,1,4,8,1
Belagavi,Kidnapping,2023,5,2,3,0,3,2,3,2,1
Mandya,Theft,2023,128,66,62,23,82,23,81,47,13
Belagavi,Molestation,2023,29,16,13,4,19,6,15,14,4
Mandya,Cheating,2023,86,37,49,10,52,24,29,57,2
Mandya,Molestation,2023,23,12,11,2,15,6,10,13,1
Kalaburagi,Kidnapping,2023,4,1,3,0,2,2,1,3,0
Ramanagara,Molestation,2023,20,9,11,0,14,6,16,4,7
Bengaluru Rural,Robbery,2023,13,6,7,2,9,2,4,9,0
Vijayapura,Robbery,2023,9,5,4,1,6,2,2,7,0
Haveri,Robbery,2023,17,5,12,2,10,5,5,12,1
Chamarajanagar2,Molestation,2023,29,20,9,3,22,4,21,8,8
Hassan,Theft,2023,87,41,46,14,68,5,61,26,3
Vijayanagar,Robbery,2023,11,7,4,1,8,2,4,7,1
Shimoga,Murder,2023,2,0,2,0,1,1,1,1,0
Bengaluru Rural,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Hubballi,Domestic Violence,2023,80,43,37,15,49,16,46,34,12
Hassan,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Ramanagara,Domestic Violence,2023,67,42,25,4,45,18,27,40,7
Gadag,Robbery,2023,5,2,3,0,3,2,1,4,0
Dharwad,Robbery,2023,21,6,15,1,17,3,11,10,4
Bengaluru Urban,Kidnapping,2023,7,3,4,0,4,3,1,6,0
Kodagu,Domestic Violence,2023,91,50,41,6,56,29,49,42,10
Chamarajanagar2,Robbery,2023,22,12,10,2,17,3,11,11,4
Bengaluru Urban,Dowry Death,2023,8,2,6,1,4,3,2,6,0
Mandya,Murder,2023,7,2,5,1,5,1,2,5,0
Davangere,Rape,2023,38,16,22,1,26,11,33,5,14
Haveri,Molestation,2023,20,6,14,3,12,5,14,6,2
Ramanagara,Molestation,2023,33,13,20,2,22,9,14,19,2
Chikkamagaluru,Kidnapping,2023,11,4,7,1,8,2,4,7,0
Chitradurga,Theft,2023,102,55,47,9,82,11,90,12,11
Ramanagara,Cheating,2023,97,50,47,15,64,18,29,68,11
Bengaluru Rural,Domestic Violence,2023,43,22,21,4,32,7,29,14,2
Yadgir,Robbery,2023,12,8,4,2,7,3,9,3,2
Mandya,Theft,2023,145,63,82,28,97,20,126,19,14
Vijayapura,Cyber Crime,2023,51,27,24,6,41,4,19,32,7
Hassan,Domestic Violence,2023,58,19,39,5,41,12,15,43,2
Dharwad,Kidnapping,2023,3,2,1,0,2,1,2,1,0
Chikkamagaluru,Dowry Death,2023,5,2,3,0,3,2,3,2,1
Kolar,Molestation,2023,31,11,20,1,25,5,10,21,2
Raichur,Kidnapping,2023,10,3,7,1,7,2,6,4,2
Bagalkot,Robbery,2023,17,5,12,3,12,2,11,6,5
Kolar,Molestation,2023,29,11,18,1,23,5,24,5,11
Mandya,Rape,2023,43,18,25,2,29,12,22,21,7
Bengaluru Urban,Rape,2023,30,12,18,3,25,2,18,12,7
Belagavi,Cheating,2023,112,44,68,8,85,19,52,60,12
Ramanagara,Theft,2023,112,52,60,10,81,21,83,29,11
Bengaluru Rural,Murder,2023,7,4,3,0,5,2,2,5,0
Ballari,Dowry Death,2023,6,3,3,0,3,3,5,1,2
Davangere,Dowry Death,2023,6,3,3,0,5,1,2,4,0
Hassan,Rape,2023,29,10,19,3,19,7,20,9,5
Kolar,Cheating,2023,86,34,52,14,61,11,24,62,2
Shivamogga,Cyber Crime,2023,65,21,44,3,52,10,28,37,10
Bengaluru Rural,Rape,2023,33,16,17,2,20,11,26,7,5
Bengaluru Urban,Molestation,2023,18,12,6,3,14,1,7,11,1
Tumakuru,Cyber Crime,2023,60,33,27,10,40,10,47,13,16
Bengaluru Rural,Murder,2023,0,0,0,0,0,0,0,0,0
Kodagu,Dowry Death,2023,8,5,3,0,5,3,5,3,0
Ramanagara,Domestic Violence,2023,72,49,23,7,50,15,24,48,4
Mandya,Domestic Violence,2023,62,27,35,4,39,19,49,13,22
Koppal,Molestation,2023,22,7,15,3,13,6,19,3,4
Belagavi,Molestation,2023,30,20,10,3,18,9,25,5,10
Mysuru,Robbery,2023,10,6,4,1,6,3,3,7,0
Ballari,Murder,2023,2,1,1,0,1,1,0,2,0
Tumakuru,Theft,2023,117,55,62,4,88,25,32,85,2
Ballari,Theft,2023,125,44,81,8,96,21,105,20,27
Kodagu,Molestation,2023,23,10,13,1,18,4,14,9,0
Mysuru,Theft,2023,129,45,84,19,81,29,38,91,4
Uttara Kannada,Rape,2023,24,10,14,3,16,5,14,10,3
Koppal,Robbery,2023,9,3,6,1,7,1,3,6,1
Mangaluru,Theft,2023,132,77,55,12,111,9,64,68,16
Kolar,Rape,2023,24,10,14,2,17,5,17,7,6
Tumakuru,Theft,2023,100,65,35,10,70,20,55,45,10
Mangaluru,Cheating,2023,113,51,62,20,90,3,31,82,3
Yadgir,Molestation,2023,37,11,26,4,30,3,12,25,5
Hubballi,Molestation,2023,27,17,10,1,21,5,15,12,4
Haveri,Cyber Crime,2023,73,42,31,11,49,13,57,16,17
Tumakuru,Molestation,2023,20,12,8,1,15,4,17,3,3
Bidar,Dowry Death,2023,5,3,2,0,3,2,3,2,0
Ballari,Dowry Death,2023,7,4,3,0,4,3,2,5,0
Bagalkot,Theft,2023,121,83,38,22,87,12,95,26,18
Uttara Kannada,Kidnapping,2023,8,2,6,0,5,3,2,6,0
Gadag,Domestic Violence,2023,84,41,43,11,60,13,49,35,11
Bidar,Cheating,2023,75,50,25,14,54,7,33,42,3
Mandya,Dowry Death,2023,9,5,4,0,6,3,6,3,1
Chikkamagaluru,Robbery,2023,18,8,10,1,14,3,10,8,4
Raichur,Cheating,2023,96,29,67,3,72,21,46,50,21
RuralAreaX,Domestic Violence,2023,90,33,57,15,63,12,76,14,30
Vijayanagar,Murder,2023,0,0,0,0,0,0,0,0,0
Gadag,Rape,2023,37,12,25,2,26,9,26,11,12
Chikkaballapura,Murder,2023,6,3,3,1,4,1,2,4,0
Shimoga,Dowry Death,2023,9,4,5,1,5,3,7,2,0
Bengaluru Rural,Theft,2023,85,29,56,7,64,14,37,48,14
Koppal,Cyber Crime,2023,64,21,43,9,47,8,46,18,15
Vijayanagar,Cyber Crime,2023,79,32,47,14,62,3,25,54,10
Tumakuru,Rape,2023,38,13,25,3,24,11,19,19,2
Chamarajanagar,Dowry Death,2023,6,2,4,0,3,3,3,3,1
Mangaluru,Cheating,2023,85,26,59,16,69,0,51,34,14
Chikkamagaluru,Dowry Death,2023,12,6,6,0,8,4,5,7,1
Uttara Kannada,Robbery,2023,10,3,7,1,8,1,8,2,0
Hubballi,Theft,2023,132,68,64,11,87,34,74,58,26
Chamarajanagar2,Domestic Violence,2023,81,33,48,5,55,21,57,24,9
Chamarajanagar,Robbery,2023,16,5,11,2,13,1,6,10,2
Bidar,Murder,2023,3,1,2,0,2,1,1,2,0
Kolar,Theft,2023,97,45,52,9,78,10,36,61,15
Uttara Kannada,Robbery,2023,9,5,4,0,6,3,7,2,0
Bidar,Rape,2023,33,22,11,1,20,12,17,16,3
Chitradurga,Molestation,2023,31,11,20,3,18,10,16,15,1
Bidar,Theft,2023,123,39,84,24,77,22,32,91,12
Hassan,Dowry Death,2023,6,2,4,1,4,1,5,1,0
Vijayapura,Rape,2023,30,15,15,1,24,5,11,19,3
Kolar,Theft,2023,131,49,82,7,84,40,116,15,55
Gadag,Cheating,2023,89,33,56,11,74,4,49,40,15
Vijayapura,Molestation,2023,28,9,19,2,22,4,15,13,2
Bengaluru Urban,Murder,2023,1,0,1,0,0,1,0,1,0
Yadgir,Murder,2023,8,5,3,1,6,1,6,2,2
Chikkamagaluru,Cheating,2023,78,41,37,2,49,27,28,50,6
Haveri,Molestation,2023,26,11,15,2,20,4,7,19,0
Hassan,Theft,2023,93,32,61,9,67,17,71,22,8
Shivamogga,Rape,2023,42,27,15,5,31,6,33,9,6
Davangere,Theft,2023,144,67,77,19,87,38,45,99,7
Dharwad,Robbery,2023,15,4,11,1,9,5,4,11,0
Vijayanagar,Molestation,2023,27,18,9,3,16,8,9,18,4
Udupi,Rape,2023,48,27,21,6,29,13,15,33,3
Bengaluru Urban,Rape,2023,24,9,15,2,17,5,18,6,4
Shivamogga,Rape,2023,37,22,15,3,29,5,11,26,4
Uttara Kannada,Robbery,2023,16,9,7,1,13,2,7,9,0
Udupi,Robbery,2023,18,11,7,0,11,7,16,2,3
Shivamogga,Dowry Death,2023,6,3,3,0,4,2,2,4,0
Bengaluru Rural,Dowry Death,2023,9,5,4,1,5,3,6,3,2
Kalaburagi,Dowry Death,2023,14,7,7,2,9,3,4,10,1
Hubballi,Cyber Crime,2023,64,36,28,6,48,10,24,40,9
Mysuru,Rape,2023,34,17,17,3,25,6,20,14,3
Chitradurga,Kidnapping,2023,5,2,3,0,3,2,1,4,0
Chikkamagaluru,Molestation,2023,19,11,8,3,15,1,7,12,2
Bengaluru Rural,Murder,2023,7,2,5,1,5,1,3,4,0
Hubballi,Domestic Violence,2023,84,30,54,3,50,31,37,47,5
Chikkaballapura,Domestic Violence,2023,74,26,48,6,57,11,20,54,1
Chikkaballapura,Robbery,2023,18,5,13,0,13,5,9,9,2
Shimoga,Kidnapping,2023,6,2,4,0,4,2,1,5,0
Kodagu,Kidnapping,2023,4,1,3,0,3,1,1,3,0
Vijayapura,Theft,2023,112,62,50,21,86,5,78,34,14
Chamarajanagar2,Theft,2023,107,49,58,10,75,22,62,45,15
Yadgir,Robbery,2023,18,12,6,2,12,4,8,10,2
Chitradurga,Cheating,2023,100,42,58,11,80,9,66,34,25
Ramanagara,Cyber Crime,2023,67,27,40,8,41,18,24,43,7
Bengaluru Rural,Molestation,2023,24,12,12,2,15,7,13,11,4
Dharwad,Cyber Crime,2023,44,24,20,8,33,3,25,19,3
Mandya,Theft,2023,119,80,39,20,95,4,33,86,9
Uttara Kannada,Robbery,2023,12,7,5,1,9,2,7,5,2
Kalaburagi,Molestation,2023,32,12,20,2,26,4,12,20,0
Kalaburagi,Molestation,2023,21,14,7,0,14,7,14,7,6
Bengaluru Urban,Molestation,2023,22,7,15,2,15,5,16,6,7
Haveri,Domestic Violence,2023,81,33,48,3,55,23,63,18,12
Shivamogga,Cyber Crime,2023,58,21,37,3,38,17,32,26,12
Hubballi,Molestation,2023,31,14,17,5,20,6,12,19,5
Bengaluru Rural,Cheating,2023,75,22,53,14,55,6,23,52,2
Hassan,Molestation,2023,24,10,14,4,17,3,20,4,8
Davangere,Dowry Death,2023,3,1,2,0,2,1,2,1,0
Chamarajanagar,Molestation,2023,28,9,19,3,20,5,13,15,4
Yadgir,Domestic Violence,2023,81,38,43,6,60,15,33,48,14
Kolar,Theft,2023,123,70,53,20,103,0,108,15,52
Kalaburagi,Cheating,2023,72,23,49,12,51,9,50,22,19
Bengaluru Urban,Cyber Crime,2023,44,13,31,1,26,17,26,18,1
Bengaluru Rural,Rape,2023,33,15,18,1,26,6,9,24,2
Ramanagara,Dowry Death,2023,8,4,4,1,5,2,5,3,1
Davangere,Kidnapping,2023,4,2,2,0,3,1,3,1,1
Vijayapura,Molestation,2023,12,5,7,1,9,2,7,5,1
Ramanagara,Rape,2023,41,14,27,1,32,8,23,18,7
Shimoga,Cyber Crime,2023,66,29,37,4,52,10,44,22,10
Udupi,Domestic Violence,2023,73,25,48,3,58,12,40,33,16
Belagavi,Domestic Violence,2023,96,48,48,15,71,10,63,33,11
Mysuru,Molestation,2023,14,7,7,2,8,4,6,8,2
Kodagu,Dowry Death,2023,3,1,2,0,2,1,1,2,0
Davangere,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Shivamogga,Domestic Violence,2023,68,35,33,5,46,17,51,17,24
Kolar,Molestation,2023,25,8,17,1,17,7,6,19,2
Raichur,Domestic Violence,2023,97,31,66,12,68,17,26,71,4
Mysuru,Domestic Violence,2023,52,28,24,7,42,3,46,6,3
Mandya,Theft,2023,135,69,66,25,101,9,53,82,22
Kalaburagi,Molestation,2023,18,9,9,2,13,3,10,8,4
Kodagu,Dowry Death,2023,6,3,3,1,4,1,3,3,0
Mandya,Robbery,2023,26,8,18,2,21,3,17,9,6
Hubballi,Cheating,2023,97,58,39,15,66,16,63,34,27
Vijayapura,Molestation,2023,24,14,10,3,19,2,10,14,1
Chikkaballapura,Cyber Crime,2023,34,12,22,5,27,2,21,13,10
Chikkaballapura,Murder,2023,0,0,0,0,0,0,0,0,0
Bengaluru Rural,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Uttara Kannada,Robbery,2023,12,5,7,1,7,4,9,3,3
Bengaluru Urban,Cheating,2023,70,38,32,12,42,16,20,50,7
Hassan,Theft,2023,97,35,62,19,58,20,65,32,12
Chamarajanagar2,Cheating,2023,101,64,37,19,61,21,55,46,15
Chikkaballapura,Kidnapping,2023,3,1,2,0,2,1,1,2,0
Vijayapura,Kidnapping,2023,7,4,3,0,5,2,6,1,1
Kalaburagi,Kidnapping,2023,5,2,3,0,3,2,1,4,0
Chamarajanagar,Murder,2023,6,1,5,0,4,2,4,2,0
Gadag,Rape,2023,22,15,7,2,15,5,10,12,0
Dharwad,Dowry Death,2023,4,2,2,0,2,2,3,1,0
Mandya,Molestation,2023,33,12,21,5,23,5,13,20,6
Dharwad,Domestic Violence,2023,68,41,27,13,43,12,38,30,15
Ramanagara,Robbery,2023,25,9,16,4,15,6,9,16,1
Uttara Kannada,Dowry Death,2023,7,4,3,0,5,2,4,3,1
Belagavi,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Chitradurga,Theft,2023,127,58,69,6,96,25,62,65,29
Hubballi,Cheating,2023,112,37,75,11,68,33,57,55,11
Hassan,Cyber Crime,2023,54,16,38,6,43,5,16,38,7
Ballari,Theft,2023,140,72,68,10,113,17,90,50,36
Bagalkot,Cheating,2023,63,31,32,11,49,3,28,35,3
Vijayapura,Cheating,2023,68,39,29,7,47,14,19,49,4
Tumakuru,Murder,2023,6,3,3,0,4,2,1,5,0
Bengaluru Rural,Cheating,2023,81,35,46,6,62,13,60,21,27
Tumakuru,Murder,2023,7,4,3,1,5,1,4,3,1
Chikkaballapura,Cheating,2023,95,56,39,16,72,7,26,69,9
RuralAreaX,Murder,2023,6,3,3,0,4,2,2,4,0
Tumakuru,Cyber Crime,2023,49,18,31,8,30,11,15,34,4
Vijayanagar,Domestic Violence,2023,87,53,34,2,62,23,29,58,3
Yadgir,Murder,2023,1,0,1,0,0,1,0,1,0
Bengaluru Rural,Domestic Violence,2023,67,28,39,12,45,10,22,45,9
Hubballi,Theft,2023,154,76,78,10,113,31,133,21,27
Kodagu,Cyber Crime,2023,79,43,36,5,59,15,25,54,5
Belagavi,Domestic Violence,2023,77,27,50,10,64,3,50,27,17
Vijayapura,Robbery,2023,17,9,8,2,12,3,12,5,1
Shimoga,Domestic Violence,2023,64,23,41,5,40,19,44,20,10
Chikkaballapura,Domestic Violence,2023,66,30,36,2,43,21,47,19,4
Bengaluru Urban,Rape,2023,30,9,21,5,21,4,14,16,4
Chitradurga,Theft,2023,116,35,81,9,71,36,64,52,3
Mysuru,Molestation,2023,18,11,7,1,12,5,6,12,1
Ramanagara,Cyber Crime,2023,75,41,34,10,56,9,19,56,4
Chamarajanagar2,Murder,2023,3,1,2,0,2,1,1,2,0
Kodagu,Cyber Crime,2023,53,30,23,8,39,6,25,28,2
Ballari,Cyber Crime,2023,68,38,30,7,53,8,26,42,11
Chamarajanagar,Cyber Crime,2023,63,25,38,2,40,21,41,22,8
Mangaluru,Murder,2023,4,1,3,0,2,2,2,2,0
Chamarajanagar,Robbery,2023,16,5,11,0,12,4,11,5,3
Kolar,Kidnapping,2023,5,2,3,0,4,1,1,4,0
RuralAreaX,Cyber Crime,2023,61,33,28,9,38,14,24,37,3
Chitradurga,Dowry Death,2023,5,2,3,0,4,1,2,3,0
Koppal,Domestic Violence,2023,49,30,19,4,34,11,42,7,14
Vijayanagar,Theft,2023,134,91,43,12,96,26,91,43,32
Chikkamagaluru,Kidnapping,2023,4,1,3,0,2,2,1,3,0
Haveri,Robbery,2023,20,10,10,2,13,5,10,10,4
Belagavi,Cyber Crime,2023,83,48,35,9,50,24,38,45,17
Chikkamagaluru,Rape,2023,36,20,16,6,21,9,21,15,10
Dharwad,Theft,2023,103,46,57,6,68,29,34,69,11
Vijayapura,Cheating,2023,66,41,25,3,50,13,26,40,3
Bengaluru Urban,Cyber Crime,2023,46,16,30,7,33,6,40,6,11
Mandya,Cheating,2023,81,32,49,13,55,13,69,12,29
Mysuru,Murder,2023,4,2,2,0,3,1,1,3,0
Ballari,Murder,2023,5,2,3,0,3,2,4,1,1
Ballari,Rape,2023,34,17,17,4,22,8,10,24,4
Bengaluru Rural,Kidnapping,2023,3,1,2,0,2,1,1,2,0
Tumakuru,Robbery,2023,10,3,7,1,7,2,8,2,0
Bagalkot,Murder,2023,5,3,2,0,4,1,2,3,0
Chitradurga,Cheating,2023,86,44,42,4,53,29,41,45,7
Bagalkot,Cheating,2023,74,27,47,12,47,15,63,11,10
Chikkamagaluru,Molestation,2023,26,18,8,1,18,7,16,10,6
RuralAreaX,Cyber Crime,2023,79,24,55,3,65,11,38,41,10
Kalaburagi,Robbery,2023,19,11,8,3,15,1,5,14,1
Vijayanagar,Kidnapping,2023,18,7,11,1,12,5,14,4,4
Hassan,Theft,2023,109,35,74,12,80,17,34,75,5
Mandya,Dowry Death,2023,9,4,5,1,5,3,5,4,0
Udupi,Murder,2023,1,0,1,0,0,1,0,1,0
Bengaluru Urban,Cheating,2023,76,26,50,10,51,15,31,45,14
Bidar,Cyber Crime,2023,67,22,45,9,50,8,34,33,11
Ballari,Robbery,2023,10,4,6,0,6,4,8,2,2
Belagavi,Molestation,2023,33,21,12,2,24,7,21,12,4
Davangere,Dowry Death,2023,6,3,3,1,3,2,3,3,1
Chamarajanagar,Robbery,2023,18,10,8,0,13,5,13,5,3
Bengaluru Urban,Rape,2023,28,9,19,4,22,2,21,7,2
Tumakuru,Theft,2023,110,72,38,11,73,26,43,67,4
Shivamogga,Cheating,2023,73,22,51,8,58,7,47,26,21
Bagalkot,Kidnapping,2023,2,0,2,0,1,1,1,1,0
Chitradurga,Theft,2023,124,44,80,20,92,12,57,67,27
Raichur,Theft,2023,142,66,76,17,104,21,54,88,19
Tumakuru,Robbery,2023,13,6,7,2,8,3,6,7,1
Uttara Kannada,Murder,2023,0,0,0,0,0,0,0,0,0
Belagavi,Theft,2023,163,56,107,27,114,22,69,94,10
Kolar,Robbery,2023,21,12,9,2,16,3,17,4,1
Vijayanagar,Murder,2023,3,1,2,0,2,1,1,2,0
Ballari,Molestation,2023,21,7,14,2,17,2,9,12,3
Udupi,Murder,2023,2,0,2,0,1,1,1,1,0
Mysuru,Rape,2023,30,9,21,4,21,5,16,14,1
Vijayapura,Robbery,2023,1,0,1,0,0,1,0,1,0
Gadag,Cyber Crime,2023,74,26,48,12,51,11,27,47,1
Shivamogga,Domestic Violence,2023,72,34,38,8,55,9,20,52,5
Uttara Kannada,Cheating,2023,98,65,33,16,78,4,44,54,15
Hubballi,Dowry Death,2023,8,2,6,0,5,3,4,4,1
Tumakuru,Cheating,2023,76,51,25,12,52,12,52,24,4
Uttara Kannada,Murder,2023,7,4,3,0,4,3,4,3,0
Hassan,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Shimoga,Cyber Crime,2023,59,29,30,2,48,9,23,36,3
Hubballi,Dowry Death,2023,7,3,4,0,5,2,4,3,0
Tumakuru,Murder,2023,2,0,2,0,1,1,0,2,0
Uttara Kannada,Kidnapping,2023,10,5,5,0,6,4,7,3,0
Mysuru,Theft,2023,114,51,63,14,94,6,90,24,27
Hubballi,Dowry Death,2023,7,2,5,0,5,2,5,2,2
Tumakuru,Rape,2023,32,17,15,2,26,4,25,7,5
Kolar,Cyber Crime,2023,48,27,21,2,29,17,27,21,7
Hassan,Dowry Death,2023,3,1,2,0,2,1,1,2,0
Gadag,Molestation,2023,38,25,13,6,24,8,12,26,2
Shimoga,Molestation,2023,31,14,17,1,25,5,23,8,5
Ramanagara,Domestic Violence,2023,73,45,28,8,56,9,50,23,6
Bengaluru Rural,Molestation,2023,31,20,11,1,23,7,21,10,5
Chikkaballapura,Domestic Violence,2023,77,42,35,3,53,21,37,40,15
Hubballi,Cyber Crime,2023,68,36,32,2,54,12,38,30,5
Chikkamagaluru,Theft,2023,100,31,69,6,69,25,31,69,6
Chamarajanagar,Rape,2023,41,17,24,1,34,6,28,13,7
Shimoga,Kidnapping,2023,8,2,6,0,6,2,5,3,0
Chamarajanagar2,Theft,2023,97,40,57,18,67,12,35,62,15
Bagalkot,Dowry Death,2023,9,4,5,0,5,4,6,3,0
Chikkaballapura,Dowry Death,2023,8,3,5,0,6,2,6,2,0
Shivamogga,Kidnapping,2023,5,2,3,0,4,1,3,2,0
Bengaluru Rural,Rape,2023,27,11,16,1,16,10,20,7,2
Gadag,Rape,2023,33,22,11,2,25,6,13,20,4
Shivamogga,Theft,2023,95,42,53,17,76,2,31,64,13
RuralAreaX,Theft,2023,132,76,56,9,86,37,38,94,18
Ballari,Murder,2023,0,0,0,0,0,0,0,0,0
Kodagu,Rape,2023,45,22,23,5,32,8,13,32,2
Uttara Kannada,Robbery,2023,14,4,10,1,10,3,11,3,2
Vijayanagar,Murder,2023,4,2,2,0,2,2,1,3,0
Dharwad,Cyber Crime,2023,47,27,20,4,39,4,19,28,1
Kodagu,Robbery,2023,15,6,9,0,12,3,8,7,2
Bidar,Cheating,2023,78,44,34,8,54,16,67,11,5
Belagavi,Rape,2023,41,22,19,4,34,3,17,24,7
Vijayapura,Dowry Death,2023,10,4,6,1,7,2,7,3,3
Shimoga,Domestic Violence,2023,72,22,50,3,58,11,31,41,2
Mysuru,Dowry Death,2023,7,2,5,0,4,3,5,2,1
Ballari,Murder,2023,6,2,4,0,5,1,2,4,0
Hassan,Molestation,2023,19,7,12,2,11,6,16,3,3
Davangere,Rape,2023,44,20,24,2,33,9,18,26,3
Tumakuru,Domestic Violence,2023,58,23,35,10,35,13,32,26,10
Chamarajanagar,Domestic Violence,2023,86,53,33,5,66,15,72,14,18
Hubballi,Theft,2023,138,45,93,19,106,13,78,60,6
Bidar,Molestation,2023,25,15,10,2,18,5,10,15,4
RuralAreaX,Cheating,2023,102,43,59,8,74,20,85,17,29
Chikkaballapura,Kidnapping,2023,5,1,4,0,3,2,3,2,1
RuralAreaX,Murder,2023,2,0,2,0,1,1,0,2,0
Chitradurga,Cheating,2023,96,40,56,2,78,16,41,55,18
Chikkaballapura,Kidnapping,2023,11,7,4,0,8,3,3,8,0
Dharwad,Theft,2023,118,71,47,4,97,17,103,15,37
Vijayapura,Molestation,2023,14,5,9,2,10,2,10,4,4
Kolar,Rape,2023,36,16,20,4,30,2,29,7,2
Chikkamagaluru,Kidnapping,2023,4,1,3,0,2,2,1,3,0
Raichur,Kidnapping,2023,8,5,3,1,6,1,2,6,0
Chitradurga,Theft,2023,130,73,57,18,94,18,99,31,21
Ballari,Kidnapping,2023,2,1,1,0,1,1,1,1,0
Dharwad,Theft,2023,97,31,66,5,63,29,55,42,7
Davangere,Domestic Violence,2023,79,45,34,5,57,17,28,51,3
Chitradurga,Theft,2023,109,67,42,8,73,28,78,31,9
Chamarajanagar2,Kidnapping,2023,8,5,3,1,6,1,5,3,1
Raichur,Murder,2023,7,3,4,0,4,3,4,3,1
Udupi,Murder,2023,7,4,3,0,4,3,3,4,1
Hassan,Theft,2023,88,43,45,12,67,9,34,54,6
Bagalkot,Cheating,2023,64,28,36,5,41,18,31,33,12
Koppal,Rape,2023,35,10,25,5,24,6,28,7,11
Chamarajanagar,Kidnapping,2023,4,1,3,0,2,2,3,1,0
Kolar,Theft,2023,114,61,53,11,88,15,91,23,6
Kolar,Kidnapping,2023,3,2,1,0,2,1,1,2,0
Bagalkot,Domestic Violence,2023,69,25,44,4,44,21,39,30,5
Chamarajanagar,Theft,2023,123,75,48,4,88,31,42,81,9
Koppal,Theft,2023,145,66,79,10,98,37,70,75,4
Hassan,Rape,2023,32,13,19,1,24,7,10,22,2
Chikkaballapura,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Raichur,Domestic Violence,2023,87,38,49,7,58,22,76,11,9
Yadgir,Cyber Crime,2023,70,24,46,2,51,17,23,47,9
Chamarajanagar,Murder,2023,0,0,0,0,0,0,0,0,0
Mysuru,Robbery,2023,12,4,8,2,7,3,9,3,4
Udupi,Kidnapping,2023,8,2,6,0,5,3,6,2,1
Hassan,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Mandya,Kidnapping,2023,1,0,1,0,0,1,0,1,0
Haveri,Robbery,2023,19,9,10,3,12,4,5,14,1
Ramanagara,Cyber Crime,2023,56,26,30,4,41,11,31,25,6
Bengaluru Rural,Domestic Violence,2023,70,27,43,4,47,19,50,20,10
Hubballi,Rape,2023,41,21,20,2,29,10,15,26,7
Chamarajanagar2,Cyber Crime,2023,49,24,25,2,30,17,33,16,9
Shivamogga,Domestic Violence,2023,65,38,27,12,44,9,35,30,4
Dharwad,Cheating,2023,75,34,41,8,59,8,23,52,3
Dharwad,Cheating,2023,99,45,54,3,79,17,36,63,16
Hubballi,Domestic Violence,2023,85,57,28,5,55,25,59,26,23
Davangere,Rape,2023,36,20,16,4,22,10,22,14,1
Chitradurga,Molestation,2023,27,14,13,1,19,7,15,12,1
Tumakuru,Dowry Death,2023,6,2,4,0,4,2,2,4,0
Mangaluru,Cheating,2023,84,30,54,5,55,24,48,36,18
Bengaluru Urban,Molestation,2023,21,9,12,2,16,3,14,7,5
Shivamogga,Robbery,2023,17,7,10,1,12,4,11,6,4
Mangaluru,Murder,2023,8,3,5,1,4,3,3,5,0
Kalaburagi,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Chamarajanagar,Murder,2023,11,6,5,0,7,4,8,3,2
RuralAreaX,Kidnapping,2023,3,1,2,0,2,1,0,3,0
Kodagu,Rape,2023,46,31,15,5,30,11,23,23,2
Bengaluru Urban,Rape,2023,25,16,9,4,20,1,11,14,1
